"ape1","ape2","ape3","ape4","ape5","model","crop","n_iteration","Yt","Y(t+1)","Y(t+2)","Y(t+3)","Y(t+4)","Y(t+5)"
14.4362701876458,10.2371847831219,2.58124658364791,5.26302316177024,3.49811799191177,"modelCornSlide","Corn",1,1993,121.500496333543,131.182249891915,128.22655822956,125.052809426463,147.647879472375
82.0539860988489,18.9310006771938,6.92339468215703,51.2782254002765,43.4081245858081,"modelWheatSlide","Wheat",1,1993,50.9751161076777,38.057920216702,44.907825766506,48.4090321280885,58.7973310801813
16.9542635061448,8.93980243553979,2.94088555796288,7.02611128479461,15.0715175334423,"modelSoySlide","Soy",1,1993,46.7817054024579,36.8793800136064,36.8824634879741,41.7401834010699,48.3300373640458
20.4238269477526,15.2629426725282,4.23212238220548,8.63807740199627,9.92347421300766,"modelCornSlide","Corn",2,1994,143.304354067826,144.07867834066,137.586401544511,166.216258425054,164.885211319511
19.3632296053805,34.6255134914383,3.78749131546784,14.350290847807,13.4723119480292,"modelWheatSlide","Wheat",2,1994,25.8037665262783,27.4572843335959,30.7880027790503,35.1163807523991,34.6110752207883
16.2598273944756,10.0528899431916,2.34501605927009,4.72957064376147,2.57077882568519,"modelSoySlide","Soy",2,1994,33.9147699052374,34.1799018215872,38.0854437368847,43.9864196703798,43.0797271067878
3.77711681261246,9.11045251875075,4.48279609968971,3.80146654714821,3.24543422528685,"modelCornSlide","Corn",3,1995,129.721396015766,119.974202675249,146.141321967475,144.297800179278,149.705879626666
16.0552270324001,16.314832483247,6.35305288150006,5.54916290004154,16.1284426925656,"modelWheatSlide","Wheat",3,1995,35.2568046463919,37.2207463946391,43.604751681415,42.2196651600166,41.0970630806429
1.54284317352886,6.80683769479576,14.5567264188902,12.1789087495461,5.68499005707759,"modelSoySlide","Soy",3,1995,37.413719594059,41.6546667009703,48.1138250959339,47.1151416748094,43.3308459234018
7.15779910888246,5.48634166591385,4.08084787171384,1.3270328270974,5.07096094193846,"modelCornSlide","Corn",4,1996,122.551705176275,144.605897251152,143.878728192429,146.924197599291,123.40775077548
23.1535744282423,11.1125201729208,10.5521895816532,11.9733454445006,6.97738085306407,"modelWheatSlide","Wheat",4,1996,39.4091438170375,45.5561332708975,44.2208758326613,43.1330607321947,40.9299524246518
7.66606329647778,15.197741654901,12.8430229158874,6.27451387231964,5.87226920569321,"modelSoySlide","Soy",4,1996,41.9897646856263,48.3830514950584,47.3940696246727,43.5725506876511,39.1727396061065
1.78355182342494,0.319611986782794,5.17032334666492,1.43449716320338,2.74647011182415,"modelCornSlide","Corn",5,1997,150.27116571016,149.520582019826,152.496968852664,128.135153687836,152.688041924436
3.26934270384038,2.84753043089733,18.0215685943917,13.1480602031527,25.8036439014826,"modelWheatSlide","Wheat",5,1997,42.3404305085746,41.1390121723589,40.1694313887481,38.2148535106128,42.7732389265041
11.1499796201799,8.88534081846304,2.84270515831777,2.48669865381303,14.858842640337,"modelSoySlide","Soy",5,1997,46.6829914404756,45.7318431437545,42.1655091149103,37.9200785019108,49.9635965485466
0.666733400919933,6.2358488668252,0.436116473697483,1.8271657748736,19.216261985589,"modelCornSlide","Corn",6,1998,151.00010010138,154.041980856897,129.433048584193,154.131349733448,117.94425750104
2.02915626055562,18.6597685297753,13.7833362007304,24.787088639953,12.2840541789682,"modelWheatSlide","Wheat",6,1998,40.8116625042222,39.8567134204101,37.9353320716786,42.427610137584,50.8752485761985
3.40780231429486,2.36528744889685,2.41265232294298,9.050380567678,21.4707295402019,"modelSoySlide","Soy",6,1998,43.4312769720038,40.0302321459523,36.1073186405111,47.4369155469399,38.8706334528646
6.08710811407916,0.564799350115838,2.10134575988997,19.1810079981944,24.4059269179436,"modelCornSlide","Corn",7,1999,153.826306765415,129.265760844849,153.700887156973,117.995728322636,120.19457620047
18.9565627074792,14.286094142703,24.3918097201876,13.7892532424014,1.18072550427687,"modelWheatSlide","Wheat",7,1999,39.7112842733352,37.7141185772107,42.2932153048638,50.0022331194072,55.6493990273523
3.58275548751767,3.61774174844058,7.20864410967505,20.1798293006884,31.6433784463961,"modelSoySlide","Soy",7,1999,39.5310702501178,35.661435553077,46.6357601877086,38.4575453762203,43.4423148873107
3.67235750847076,4.93490782233621,21.8739287544255,26.8821732906788,3.4248437568269,"modelCornSlide","Corn",8,2000,125.225935238988,149.252194718932,114.064064018539,116.257344467821,168.040771863121
7.29985928026184,34.8002187643127,5.07775611694467,11.9659267313523,27.5594506688645,"modelWheatSlide","Wheat",8,2000,40.7880619166848,45.8320743798663,55.0549014521721,61.5812597022438,52.2993747742344
1.9144703037864,9.22046340845446,22.3544756439988,34.0930888725754,17.1313305589744,"modelSoySlide","Soy",8,2000,36.291645987599,47.5109015826777,39.1534322060796,44.2507193279499,53.2947554043333
3.07725283496733,20.0108965650518,25.1749091167937,1.54831894194261,6.62838618403776,"modelCornSlide","Corn",9,2001,152.168713049101,116.784091015024,118.971894504298,171.30592504102,171.671701756301
38.8603519476387,1.77099653298458,15.8573124425662,31.3405091123807,2.83589112333198,"modelWheatSlide","Wheat",9,2001,47.2125196621972,56.9728220108689,63.7215218434114,53.8496087360761,48.332868827966
10.2046812887181,23.7500026389962,35.5336361233084,18.1976714279984,5.8464045950729,"modelSoySlide","Soy",9,2001,47.9390363605924,39.6000008444788,44.7260999206918,53.7799404997393,47.1016500448074
19.4099744699229,24.5294952770289,0.14606313078584,8.22295064429596,11.7339692101585,"modelCornSlide","Corn",10,2002,117.661437273912,119.998102509524,174.254149847567,174.238950537316,163.131595046831
